"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"602",NA,NA,NA,NA,NA,NA,NA,NA,NA
"603",0,0,0,2,2,3,2,1,3
"604",0,0,0,2,1,3,1,1,0
"605",0,0,0,3,4,2,3,1,2
"606",0,0,0,1,2,5,0,1,3
"607",0,0,0,2,3,0,1,5,4
"608",0,0,0,1,2,1,0,5,1
"609",0,0,0,3,2,0,1,2,1
"610",0,0,0,4,0,4,2,3,0
"611",0,0,0,2,6,4,2,1,1
"612",0,0,0,1,2,1,3,2,2
"613",0,0,0,3,1,2,2,1,3
"614",0,0,0,1,0,1,2,2,2
"615",0,0,0,4,0,3,3,4,1
"616",0,0,0,6,1,0,0,5,2
"617",0,0,0,3,0,1,2,2,2
"618",0,0,0,1,0,3,6,0,2
"619",0,0,0,4,5,1,1,1,5
"620",0,0,0,3,1,0,5,1,2
"621",0,0,0,3,4,4,6,1,3
"622",0,0,0,2,3,4,2,3,1
"623",0,0,0,2,0,0,1,1,1
"624",0,0,0,0,3,2,4,0,3
"625",0,0,0,1,3,2,1,0,1
"626",0,0,0,3,3,3,3,1,1
"627",0,0,0,1,2,3,2,2,2
"628",0,0,0,2,4,2,1,2,5
"629",0,0,0,1,3,2,2,1,2
"630",0,0,0,2,1,3,1,2,3
"631",0,0,0,2,1,1,4,1,2
"632",0,0,0,5,2,3,2,0,2
"633",0,0,0,6,2,2,0,1,1
"634",0,0,0,1,0,3,5,3,1
"635",0,0,0,0,3,0,5,1,2
"636",0,0,0,3,2,2,1,0,5
"637",0,0,0,2,2,5,1,1,1
"638",0,0,0,4,0,6,2,2,3
"639",0,0,0,4,1,2,4,3,2
"640",0,0,0,1,5,1,2,1,1
"641",0,0,0,2,3,2,5,1,3
"642",0,0,0,2,1,3,5,3,2
"643",0,0,0,5,1,3,1,2,0
"644",0,0,0,1,2,1,2,2,2
"645",0,0,0,5,1,1,4,1,4
"646",0,0,0,2,3,1,1,2,1
"647",0,0,0,0,4,2,0,0,2
"648",0,0,0,2,0,2,2,2,1
"649",0,0,0,4,2,4,4,3,2
"650",0,0,0,3,3,5,1,3,1
"651",0,0,0,2,2,1,1,4,1
"652",0,0,0,1,3,1,1,1,1
"653",0,0,0,1,1,1,1,4,0
"654",0,0,0,8,2,4,2,2,0
"655",0,0,0,1,2,5,3,2,1
